L/L_side,pL²/EI,w/L,u/L,θ₀
7,1.225,0.3571457,0.076644893,0.545800644
7,2.45,0.559699867,0.201795159,0.890697961
7,3.0625,0.621365806,0.256444088,1.005526336
7,4.083333333,0.692402408,0.332105753,1.14484839
7,6.125,0.774227923,0.439145366,1.311331334
7,8.166666667,0.821253182,0.510324459,1.403345345
15,1.125,0.332544942,0.068375667,0.509537202
15,1.875,0.476642082,0.147117554,0.749985671
15,2.8125,0.588374504,0.236611084,0.953872604
15,5.625,0.76957333,0.466053216,1.318306505
15,7.03125,0.720419131,0.377834136,1.187295931
25,1.25,0.349800028,0.077490677,0.553764254
25,1.785714286,0.39371055,0.097386324,0.622477328
25,6.25,0.453685736,0.15273369,0.879047616
25,7.8125,0.47100094,0.187307085,1.027456588
